2023-07-23 13:35:28.531 [info] Log level: Info
2023-07-23 13:35:28.531 [info] Validating found git in: "git"
2023-07-23 13:35:28.531 [info] Using git "2.41.0" from "git"
2023-07-23 13:35:28.531 [info] > git rev-parse --show-toplevel [4ms]
2023-07-23 13:35:28.531 [info] > git rev-parse --git-dir --git-common-dir [2ms]
2023-07-23 13:35:28.531 [info] Open repository: /home/atmegabuzz/.config
2023-07-23 13:35:28.531 [info] > git rev-parse --show-toplevel [4ms]
2023-07-23 13:35:28.531 [info] > git rev-parse --show-toplevel [4ms]
2023-07-23 13:35:28.531 [info] > git config --get commit.template [9ms]
2023-07-23 13:35:28.532 [info] > git rev-parse --show-toplevel [2ms]
2023-07-23 13:35:28.538 [info] > git rev-parse --show-toplevel [4ms]
2023-07-23 13:35:28.540 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [3ms]
2023-07-23 13:35:28.545 [info] > git rev-parse --show-toplevel [5ms]
2023-07-23 13:35:28.548 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:28.551 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:28.553 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:28.556 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:28.558 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:28.561 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:28.563 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:28.565 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:28.568 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:28.570 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:28.577 [info] > git rev-parse --show-toplevel [5ms]
2023-07-23 13:35:28.580 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:28.583 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:28.585 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:28.587 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:28.595 [info] > git status -z -uall [51ms]
2023-07-23 13:35:28.595 [info] > git rev-parse --show-toplevel [6ms]
2023-07-23 13:35:29.136 [info] > git rev-parse --show-toplevel [537ms]
2023-07-23 13:35:29.146 [info] > git rev-parse --show-toplevel [6ms]
2023-07-23 13:35:29.151 [info] > git config --get commit.template [16ms]
2023-07-23 13:35:29.155 [info] > git check-ignore -v -z --stdin [10ms]
2023-07-23 13:35:29.155 [info] > git rev-parse --show-toplevel [4ms]
2023-07-23 13:35:29.163 [info] > git rev-parse --show-toplevel [3ms]
2023-07-23 13:35:29.168 [info] > git for-each-ref --format=%(refname)%00%(upstream:short)%00%(objectname)%00%(upstream:track)%00%(upstream:remotename)%00%(upstream:remoteref) refs/heads/main refs/remotes/main [5ms]
2023-07-23 13:35:29.172 [info] > git rev-parse --show-toplevel [4ms]
2023-07-23 13:35:29.177 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.182 [info] > git rev-parse --show-toplevel [0ms]
2023-07-23 13:35:29.189 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.197 [info] > git rev-parse --show-toplevel [2ms]
2023-07-23 13:35:29.203 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.210 [info] > git status -z -uall [39ms]
2023-07-23 13:35:29.210 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.285 [info] > git rev-parse --show-toplevel [70ms]
2023-07-23 13:35:29.291 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.297 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.302 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.308 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.313 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.320 [info] > git rev-parse --show-toplevel [1ms]
2023-07-23 13:35:29.326 [info] > git rev-parse --show-toplevel [1ms]
